,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Lesotho","Data source","All types","2.98","2.97","2.90","2.82","2.49","1.81","2.00","2.97","2.87","3.10"
"Liberia","Data source","All types","3.75","3.89","4.04","4.05","4.19","4.24","4.22","4.28","4.41","4.46"
"Libya","Data source","All types","0.01","0.01","0.01","0.01","0","0.01","0.01","0.01","0","0.01"
"Lithuania","Data source","All types","12.40","13.30","13.40","12.70","12.30","12.10","11.29","11.00","10.20","9.87"
"Luxembourg","Data source","All types","11.60","11.72","11.94","12.17","12.02","12.42","12.61","12.91","12.89","13.14"
"Madagascar","Data source","All types","0.91","0.68","0.71","0.68","0.83","0.83","0.94","0.91","1.17","1.31"
"Malawi","Data source","All types","1.78","1.94","1.98","1.98","1.48","1.27","1.24","1.27","1.33","1.38"
"Malaysia","Data source","All types","0.47","0.47","0.43","0.43","0.46","0.49","0.48","0.49","0.53","0.54"
"Maldives","Data source","All types","1.62","1.72","1.69","1.57","1.35","1.60","1.76","1.78","1.62","1.47"
"Mali","Data source","All types","0.56","0.58","0.55","0.55","0.54","0.54","0.55","0.61","0.60","0.57"
"Malta","Data source","All types","7.53","7.27","7.62","9.03","6.55","6.66","6.80","6.11","5.95","5.88"
"Mauritania","Data source","All types","0","0.02","0.02","0.01","0.01","0.01","0.01","0.02","0.01","0.03"
"Mauritius","Data source","All types","2.82","2.49","3.24","3.73","3.94","4.17","4.08","4.13","4.37","4.60"
"Mexico","Data source","All types","5.23","5.34","5.35","5.13","4.96","4.93","4.91","4.82","4.93","5.06"
