,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Singapore","Data source","All types","1.81","1.80","1.83","1.84","1.93","1.89","1.84"
"Slovakia","Data source","All types","10.14","10.78","10.89","10.54","10.66","10.78","10.55"
"Slovenia","Data source","All types","10.51","11.49","10.92","9.53","10.95","10.61","10.31"
"Solomon Islands","Data source","All types","","0.98","0.95","0.98","1.00","1.05","1.09"
"Somalia","Data source","All types","","0","0","0","0","0","0"
"South Africa","Data source","All types","7.12","7.12","7.17","7.19","7.26","7.28","7.28"
"Spain","Data source","All types","8.58","8.26","8.70","8.77","8.83","9.01","9.78"
"Sri Lanka","Data source","All types","","2.72","2.45","2.65","2.89","3.03","2.31"
"Sudan","Data source","All types","","","","0.06","0","",""
"Suriname","Data source","All types","4.22","4.69","5.41","5.95","5.75","5.66","5.27"
"Sweden","Data source","All types","7.18","7.16","7.20","7.32","7.23","7.34","7.31"
"Switzerland","Data source","All types","9.43","9.62","9.62","9.74","9.87","9.99","10.01"
"Syrian Arab Republic","Data source","All types","","0.23","0.20","0.15","0.21","0.60","0.76"
"Tajikistan","Data source","All types","0.91","0.90","0.87","0.79","0.76","0.70","0.67"
"Thailand","Data source","All types","","6.57","6.90","6.79","7.09","7.14","6.70"
"The former Yugoslav republic of Macedonia","Data source","All types","4.83","4.68","3.75","3.81","3.74","3.74","3.76"
"Timor-Leste","Data source","All types","","0.56","0.56","0.56","0.57","0.46","0.09"
"Togo","Data source","All types","","1.66","1.66","1.63","1.38","1.53","1.30"
"Tonga","Data source","All types","","","","0.37","0.54","0.96","1.24"
